Year,Category,Name,Location,Province,Coordinates
2014,Warehouse,PT Hevea MK I,"Palembang, South Sumatra",ID-SS,"[-2.9758018378189965, 104.81375436764411]"
2014,Warehouse,PT Hevea MK II,"Palembang, South Sumatra",ID-SS,"[-3.016623845534428, 104.68949565045006]"
2014,Agroindustry,PT Alam Tri Abadi,"Tanjung, South Kalimantan",ID-KS,"[-2.1479474509155883, 115.45742971445378]"
2014,Agroindustry,PT Wijaya Tri Utama,"Banjarmasin, South Kalimantan",ID-KS,"[-3.334779686646744, 114.56254773749137]"
2014,Agroindustry,PT Basirih,"Banjarmasin, South Kalimantan",ID-KS,"[-3.3371567103041526, 114.56489381450896]"
2014,Agroindustry,PT Lajuperdana Indah,"East Ogan Komering Ulu, South Sumatra",ID-SS,"[-3.8589970549014168, 104.72016829333812]"
2014,Chemical,PT Nipsea Paint and Chemicals,"Purwakarta, West Java",ID-JB,"[-6.492811959629731, 107.50961251719843]"
2014,Hospitality & Tourism,"PT Widja Putra Karya - The Oberoi Bali, Hotel and Resort","Kuta, Bali",ID-BA,"[-8.687260443503835, 115.15515515130724]"
2014,Water Treatment Plant,PT Tirta Kencana Cahaya Mandiri,"Tangerang, Banten",ID-BT,"[-6.195000403984955, 106.62818669636096]"
2014,Mining,Kaltim Prima Coal (KPC),"Sangatta, East Kalimantan",ID-KI,"[0.5417036089144667, 117.50828369999998]"
2014,Mining,"PT Bukit Asam, Tarahan Coal Terminal","Tarahan, Lampung",ID-LA,"[-5.509167501026013, 105.34279981349245]"
2014,Mining,PT Arutmin,"Tanah Bumbu, South Kalimantan",ID-KS,"[-3.3438109234059343, 116.02195492506183]"
2014,Manufacturing,PT Indorama Polychem Indonesia,"Purwakarta, West Java",ID-JB,"[-6.557391468171187, 107.416611363181]"
2014,Power Plants,BTG Unit I Semen Tonasa,"Pangkep, South Sulawesi",ID-SN,"[-4.784543165126595, 119.61591488650755]"
2014,Power Plants,PLN Batam,"Batam, Riau Islands",ID-KR,"[1.2010989861019772, 104.02373474716356]"
2014,Power Plants,PT Wijaya Tri Utama - PLTU II,"Banjarmasin, South Kalimantan",ID-KS,"[-3.3348118152962622, 114.56242435230216]"
2015,Agroindustry,PT Perkebunan Nusantara V,"Pekanbaru, Riau",ID-RI,"[0.4705885542267221, 101.42671417116414]"
2015,Agroindustry,PT Bumi Sarimas Indonesia,"Padang Pariaman, West Sumatra",ID-SB,"[-0.7868752044066275, 100.31638093068682]"
2015,Mining,PT Indonesia Chemical Alumina,"Sanggau, West Kalimantan",ID-KB,"[-0.06402999458831433, 110.14078826931318]"
